
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
861,18,Dec 31 2015,4:00 PM,Thu,(1) Clemson,37,,(4) Oklahoma,17,,
862,18,Dec 31 2015,12:00 PM,Thu,(14) Houston,38,,(9) Florida State,24,,
863,18,Jan 1 2016,1:00 PM,Fri,(17) Michigan,41,,(19) Florida,7,,
864,18,Jan 1 2016,8:30 PM,Fri,(16) Mississippi,48,,(13) Oklahoma State,20,,
865,18,Jan 1 2016,1:00 PM,Fri,(7) Ohio State,44,,(8) Notre Dame,28,,
866,18,Jan 1 2016,5:00 PM,Fri,(5) Stanford,45,,(6) Iowa,16,,
867,18,Jan 1 2016,12:00 PM,Fri,Tennessee,45,,(12) Northwestern,6,,
870,18,Jan 2 2016,6:45 PM,Sat,(11) Texas Christian,47,,(15) Oregon,41,,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
872,19,Jan 11 2016,8:30 PM,Mon,(2) Alabama,45,,(1) Clemson,40,,
